,Time,Media,Plate,Well,Sample,Strain,Strain2,Phylum,Class,Order,Family,Genus,Phylum_alternative,OD600
1672,T1W,Glucose,P2.3,D4,S67,R635,Root635,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,#REF!,Alphaproteobacteria,0.085900001
1673,T1W,Glucose,P2.3,D5,S68,R651,Root651,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Alphaproteobacteria,0.196799994
1674,T1W,Glucose,P2.3,D6,S69,R670,Root670,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Alphaproteobacteria,0.082800001
1675,T1W,3OMG,P2.3,D7,S64,R569,Root569,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.082500003
1676,T1W,3OMG,P2.3,D8,S65,R604,Root604,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,#REF!,Gammaproteobacteria,0.0823
1677,T1W,3OMG,P2.3,D9,S66,R608,Root608,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Alphaproteobacteria,0.084299996
1678,T1W,3OMG,P2.3,D10,S67,R635,Root635,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,#REF!,Alphaproteobacteria,0.091600001
1679,T1W,3OMG,P2.3,D11,S68,R651,Root651,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Alphaproteobacteria,0.091899998
1680,T1W,3OMG,P2.3,D12,S69,R670,Root670,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Alphaproteobacteria,0.081200004
1681,T1W,Glucose,P2.3,E1,S70,R672,Root672,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Alphaproteobacteria,0.089000002
1682,T1W,Glucose,P2.3,E2,S71,R682,Root682,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,#REF!,Actinobacteria,0.089599997
1683,T1W,Glucose,P2.3,E3,S72,R685,Root685,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,#REF!,Alphaproteobacteria,0.088299997
1684,T1W,Glucose,P2.3,E4,S73,R695,Root695,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Alphaproteobacteria,0.090999998
1685,T1W,Glucose,P2.3,E5,S74,R700,Root700,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,#REF!,Alphaproteobacteria,0.118100002
1686,T1W,Glucose,P2.3,E6,S75,R708,Root708,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.191699997
1687,T1W,3OMG,P2.3,E7,S70,R672,Root672,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Alphaproteobacteria,0.085299999
1688,T1W,3OMG,P2.3,E8,S71,R682,Root682,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,#REF!,Actinobacteria,0.087200001
1689,T1W,3OMG,P2.3,E9,S72,R685,Root685,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,#REF!,Alphaproteobacteria,0.087099999
1690,T1W,3OMG,P2.3,E10,S73,R695,Root695,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Alphaproteobacteria,0.089400001
1691,T1W,3OMG,P2.3,E11,S74,R700,Root700,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,#REF!,Alphaproteobacteria,0.085600004
1692,T1W,3OMG,P2.3,E12,S75,R708,Root708,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.086000003
1693,T1W,Glucose,P2.3,F1,S76,R901,Root901,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes,0.080399998
1694,T1W,Glucose,P2.3,F2,S77,R918,Root918,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,#REF!,Actinobacteria,0.192599997
1695,T1W,Glucose,P2.3,F3,S78,R930,Root930,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,#REF!,Actinobacteria,0.109800003
1696,T1W,Glucose,P2.3,F4,S79,R935,Root935,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes,0.087899998
1697,T1W,Glucose,P2.3,F5,S80,R1203,Root1203,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.152099997
