,Strain1,Strain2,Host,Media,Growth,OD600,Phylum,Class,Order,Phylum_alternative
107,Bn_09,Bn_09,B_napus,Glucose,Glucose [Tf-T0],0.352344444,#N/A,#N/A,#N/A,#N/A
108,Bn_09,Bn_09,B_napus,Glucose,Glucose [Tf-T0],0.473444444,#N/A,#N/A,#N/A,#N/A
109,Bn_10,Bn_10,B_napus,Glucose,Glucose [Tf-T0],0.471511111,#N/A,#N/A,#N/A,#N/A
110,Bn_10,Bn_10,B_napus,Glucose,Glucose [Tf-T0],0.458255556,#N/A,#N/A,#N/A,#N/A
111,Bn_10,Bn_10,B_napus,Glucose,Glucose [Tf-T0],0.311066667,#N/A,#N/A,#N/A,#N/A
112,Bn_11,Bn_11,B_napus,Glucose,Glucose [Tf-T0],0.642622222,#N/A,#N/A,#N/A,#N/A
113,Bn_11,Bn_11,B_napus,Glucose,Glucose [Tf-T0],0.628177778,#N/A,#N/A,#N/A,#N/A
114,Bn_11,Bn_11,B_napus,Glucose,Glucose [Tf-T0],0.628588889,#N/A,#N/A,#N/A,#N/A
115,Bn_14,Bn_14,B_napus,Glucose,Glucose [Tf-T0],0.680666667,#N/A,#N/A,#N/A,#N/A
116,Bn_14,Bn_14,B_napus,Glucose,Glucose [Tf-T0],0.709588889,#N/A,#N/A,#N/A,#N/A
117,Bn_14,Bn_14,B_napus,Glucose,Glucose [Tf-T0],0.576266667,#N/A,#N/A,#N/A,#N/A
118,Bn_15,Bn_15,B_napus,Glucose,Glucose [Tf-T0],0.272288889,#N/A,#N/A,#N/A,#N/A
119,Bn_15,Bn_15,B_napus,Glucose,Glucose [Tf-T0],0.475177778,#N/A,#N/A,#N/A,#N/A
120,Bn_15,Bn_15,B_napus,Glucose,Glucose [Tf-T0],0.506233333,#N/A,#N/A,#N/A,#N/A
121,Bn_16,Bn_16,B_napus,Glucose,Glucose [Tf-T0],0.316533333,#N/A,#N/A,#N/A,#N/A
122,Bn_16,Bn_16,B_napus,Glucose,Glucose [Tf-T0],0.301644444,#N/A,#N/A,#N/A,#N/A
123,Bn_16,Bn_16,B_napus,Glucose,Glucose [Tf-T0],0.277377778,#N/A,#N/A,#N/A,#N/A
124,Bn_17,Bn_17,B_napus,Glucose,Glucose [Tf-T0],0.522844444,#N/A,#N/A,#N/A,#N/A
125,Bn_17,Bn_17,B_napus,Glucose,Glucose [Tf-T0],0.527722222,#N/A,#N/A,#N/A,#N/A
126,Bn_17,Bn_17,B_napus,Glucose,Glucose [Tf-T0],0.499788889,#N/A,#N/A,#N/A,#N/A
127,Bn_18,Bn_18,B_napus,Glucose,Glucose [Tf-T0],0.647777778,#N/A,#N/A,#N/A,#N/A
128,Bn_18,Bn_18,B_napus,Glucose,Glucose [Tf-T0],0.696488889,#N/A,#N/A,#N/A,#N/A
129,Bn_18,Bn_18,B_napus,Glucose,Glucose [Tf-T0],0.664233333,#N/A,#N/A,#N/A,#N/A
130,Bn_19,Bn_19,B_napus,Glucose,Glucose [Tf-T0],0.188222222,#N/A,#N/A,#N/A,#N/A
131,Bn_19,Bn_19,B_napus,Glucose,Glucose [Tf-T0],0.183111111,#N/A,#N/A,#N/A,#N/A
132,Bn_19,Bn_19,B_napus,Glucose,Glucose [Tf-T0],0.253144444,#N/A,#N/A,#N/A,#N/A
133,Bn_21,Bn_21,B_napus,Glucose,Glucose [Tf-T0],0.294077778,#N/A,#N/A,#N/A,#N/A
134,Bn_21,Bn_21,B_napus,Glucose,Glucose [Tf-T0],0.360455556,#N/A,#N/A,#N/A,#N/A
135,Bn_21,Bn_21,B_napus,Glucose,Glucose [Tf-T0],0.310733333,#N/A,#N/A,#N/A,#N/A
136,Bn_22,Bn_22,B_napus,Glucose,Glucose [Tf-T0],0.543111111,#N/A,#N/A,#N/A,#N/A
137,Bn_22,Bn_22,B_napus,Glucose,Glucose [Tf-T0],0.546677778,#N/A,#N/A,#N/A,#N/A
138,Bn_22,Bn_22,B_napus,Glucose,Glucose [Tf-T0],0.506566667,#N/A,#N/A,#N/A,#N/A
139,Bn_24,Bn_24,B_napus,Glucose,Glucose [Tf-T0],0.689533333,#N/A,#N/A,#N/A,#N/A
140,Bn_24,Bn_24,B_napus,Glucose,Glucose [Tf-T0],0.670077778,#N/A,#N/A,#N/A,#N/A
141,Bn_24,Bn_24,B_napus,Glucose,Glucose [Tf-T0],0.734033333,#N/A,#N/A,#N/A,#N/A
145,Bn_06,Bn_06,B_napus,3OMG,3-O-MG [Tf-T0],0.147388889,#N/A,#N/A,#N/A,#N/A
146,Bn_06,Bn_06,B_napus,3OMG,3-O-MG [Tf-T0],0.072455556,#N/A,#N/A,#N/A,#N/A
147,Bn_06,Bn_06,B_napus,3OMG,3-O-MG [Tf-T0],0.040155556,#N/A,#N/A,#N/A,#N/A
148,Bn_07,Bn_07,B_napus,3OMG,3-O-MG [Tf-T0],0,#N/A,#N/A,#N/A,#N/A
149,Bn_07,Bn_07,B_napus,3OMG,3-O-MG [Tf-T0],0,#N/A,#N/A,#N/A,#N/A
150,Bn_07,Bn_07,B_napus,3OMG,3-O-MG [Tf-T0],0,#N/A,#N/A,#N/A,#N/A
151,Bn_08,Bn_08,B_napus,3OMG,3-O-MG [Tf-T0],0,#N/A,#N/A,#N/A,#N/A
152,Bn_08,Bn_08,B_napus,3OMG,3-O-MG [Tf-T0],0.015766667,#N/A,#N/A,#N/A,#N/A
153,Bn_08,Bn_08,B_napus,3OMG,3-O-MG [Tf-T0],0,#N/A,#N/A,#N/A,#N/A
154,Bn_09,Bn_09,B_napus,3OMG,3-O-MG [Tf-T0],0.150933333,#N/A,#N/A,#N/A,#N/A
155,Bn_09,Bn_09,B_napus,3OMG,3-O-MG [Tf-T0],0.170733333,#N/A,#N/A,#N/A,#N/A
156,Bn_09,Bn_09,B_napus,3OMG,3-O-MG [Tf-T0],0.218922222,#N/A,#N/A,#N/A,#N/A
157,Bn_10,Bn_10,B_napus,3OMG,3-O-MG [Tf-T0],0.193022222,#N/A,#N/A,#N/A,#N/A
158,Bn_10,Bn_10,B_napus,3OMG,3-O-MG [Tf-T0],0.159266667,#N/A,#N/A,#N/A,#N/A
159,Bn_10,Bn_10,B_napus,3OMG,3-O-MG [Tf-T0],0.131288889,#N/A,#N/A,#N/A,#N/A
160,Bn_11,Bn_11,B_napus,3OMG,3-O-MG [Tf-T0],0.093333333,#N/A,#N/A,#N/A,#N/A
161,Bn_11,Bn_11,B_napus,3OMG,3-O-MG [Tf-T0],0.0881,#N/A,#N/A,#N/A,#N/A
162,Bn_11,Bn_11,B_napus,3OMG,3-O-MG [Tf-T0],0.098977778,#N/A,#N/A,#N/A,#N/A
163,Bn_14,Bn_14,B_napus,3OMG,3-O-MG [Tf-T0],0.139111111,#N/A,#N/A,#N/A,#N/A
164,Bn_14,Bn_14,B_napus,3OMG,3-O-MG [Tf-T0],0.162722222,#N/A,#N/A,#N/A,#N/A
165,Bn_14,Bn_14,B_napus,3OMG,3-O-MG [Tf-T0],0.201655556,#N/A,#N/A,#N/A,#N/A
166,Bn_15,Bn_15,B_napus,3OMG,3-O-MG [Tf-T0],0.201788889,#N/A,#N/A,#N/A,#N/A
167,Bn_15,Bn_15,B_napus,3OMG,3-O-MG [Tf-T0],0.227266667,#N/A,#N/A,#N/A,#N/A
168,Bn_15,Bn_15,B_napus,3OMG,3-O-MG [Tf-T0],0.289511111,#N/A,#N/A,#N/A,#N/A
169,Bn_16,Bn_16,B_napus,3OMG,3-O-MG [Tf-T0],0.049988889,#N/A,#N/A,#N/A,#N/A
170,Bn_16,Bn_16,B_napus,3OMG,3-O-MG [Tf-T0],0.039022222,#N/A,#N/A,#N/A,#N/A
171,Bn_16,Bn_16,B_napus,3OMG,3-O-MG [Tf-T0],0.037244444,#N/A,#N/A,#N/A,#N/A
172,Bn_17,Bn_17,B_napus,3OMG,3-O-MG [Tf-T0],0.085166667,#N/A,#N/A,#N/A,#N/A
173,Bn_17,Bn_17,B_napus,3OMG,3-O-MG [Tf-T0],0.0635,#N/A,#N/A,#N/A,#N/A
174,Bn_17,Bn_17,B_napus,3OMG,3-O-MG [Tf-T0],0.059944444,#N/A,#N/A,#N/A,#N/A
175,Bn_18,Bn_18,B_napus,3OMG,3-O-MG [Tf-T0],0.099688889,#N/A,#N/A,#N/A,#N/A
176,Bn_18,Bn_18,B_napus,3OMG,3-O-MG [Tf-T0],0.132766667,#N/A,#N/A,#N/A,#N/A
177,Bn_18,Bn_18,B_napus,3OMG,3-O-MG [Tf-T0],0.093988889,#N/A,#N/A,#N/A,#N/A
178,Bn_19,Bn_19,B_napus,3OMG,3-O-MG [Tf-T0],0,#N/A,#N/A,#N/A,#N/A
179,Bn_19,Bn_19,B_napus,3OMG,3-O-MG [Tf-T0],0,#N/A,#N/A,#N/A,#N/A
180,Bn_19,Bn_19,B_napus,3OMG,3-O-MG [Tf-T0],0.019277778,#N/A,#N/A,#N/A,#N/A
181,Bn_21,Bn_21,B_napus,3OMG,3-O-MG [Tf-T0],0.125677778,#N/A,#N/A,#N/A,#N/A
182,Bn_21,Bn_21,B_napus,3OMG,3-O-MG [Tf-T0],0.077233333,#N/A,#N/A,#N/A,#N/A
183,Bn_21,Bn_21,B_napus,3OMG,3-O-MG [Tf-T0],0.105544444,#N/A,#N/A,#N/A,#N/A
184,Bn_22,Bn_22,B_napus,3OMG,3-O-MG [Tf-T0],0.117722222,#N/A,#N/A,#N/A,#N/A
185,Bn_22,Bn_22,B_napus,3OMG,3-O-MG [Tf-T0],0.103177778,#N/A,#N/A,#N/A,#N/A
186,Bn_22,Bn_22,B_napus,3OMG,3-O-MG [Tf-T0],0.081833333,#N/A,#N/A,#N/A,#N/A
187,Bn_24,Bn_24,B_napus,3OMG,3-O-MG [Tf-T0],0.131577778,#N/A,#N/A,#N/A,#N/A
188,Bn_24,Bn_24,B_napus,3OMG,3-O-MG [Tf-T0],0.158733333,#N/A,#N/A,#N/A,#N/A
189,Bn_24,Bn_24,B_napus,3OMG,3-O-MG [Tf-T0],0.192133333,#N/A,#N/A,#N/A,#N/A
193,Bn_25,Bn_25,B_napus,Glucose,Glucose [Tf-T0],0.501022222,#N/A,#N/A,#N/A,#N/A
194,Bn_25,Bn_25,B_napus,Glucose,Glucose [Tf-T0],0.454033333,#N/A,#N/A,#N/A,#N/A
195,Bn_25,Bn_25,B_napus,Glucose,Glucose [Tf-T0],0.525955556,#N/A,#N/A,#N/A,#N/A
