	locus_name	symbol	full_name
6011	AT1G70850	MLP34	MLP-like protein 34
6012	AT1G70890	MLP43	major latex protein like 43
6013	AT1G70890	MLP43	MLP-like protein 43
6014	AT1G70895	CLE17	CLAVATA3/ESR-RELATED 17
6015	AT1G70910	DEP	DESPIERTO
6016	AT1G70920	ATHB18	homeobox-leucine zipper protein 18
6017	AT1G70920	HB18	homeobox-leucine zipper protein 18
6018	AT1G70940	ATPIN3	ARABIDOPSIS PIN-FORMED 3
6019	AT1G70940	PIN3	PIN-FORMED 3
6020	AT1G70950	WDL7	WAVE DAMPENED 7
6021	AT1G70980	SYNC3	NULL
6022	AT1G70990	EXT33	EXTENSIN 33
6023	AT1G71002	MIR858A	microRNA858A
6024	AT1G71010	FAB1C	FORMS APLOID AND BINUCLEATE CELLS 1C
6025	AT1G71020	PUB10	PLANT U-BOX PROTEIN10
6026	AT1G71030	ATMYBL2	ARABIDOPSIS MYB-LIKE 2
6027	AT1G71030	MYBL2	MYB-like 2
6028	AT1G71040	LPR2	Low Phosphate Root2
6029	AT1G71050	AtHMP15	HEAVY METAL ASSOCIATED PROTEIN 15
6030	AT1G71050	HIPP20	heavy metal associated isoprenylated plant protein 20
6031	AT1G71090	PILS2	PIN-LIKES 2
6032	AT1G71100	RSW10	RADIAL SWELLING 10
6033	AT1G71120	GLIP6	GDSL-motif lipase/hydrolase 6
6034	AT1G71130	AtERF070	NULL
6035	AT1G71130	CRF8	cytokinin response factor 8
6036	AT1G71130	ERF070	ethylene response factor 70
6037	AT1G71140	DTX14	Protein DETOXIFICATION 14
6038	AT1G71160	KCS7	3-ketoacyl-CoA synthase 7
6039	AT1G71190	SAG18	senescence associated gene 18
6040	AT1G71200	bHLH160	Basic Helix Loop Helix 160
6041	AT1G71200	CITF1	Cu-deficiency Induced Transcription Factor 1
6042	AT1G71220	EBS1	EMS-mutagenized bri1 suppressor 1
6043	AT1G71220	PSL2	PRIORITY IN SWEET LIFE 2
6044	AT1G71220	UGGT	UDP-GLUCOSE:GLYCOPROTEIN GLUCOSYLTRANSFERASE
6045	AT1G71230	AJH2	NULL
6046	AT1G71230	CSN5	NULL
6047	AT1G71230	CSN5B	COP9-signalosome 5B
6048	AT1G71260	ATWHY2	WHIRLY 2
6049	AT1G71260	WHY2	WHIRLY 2
6050	AT1G71270	ATVPS52	ARABIDOPSIS THALIANA VPS52 HOMOLOG
6051	AT1G71270	POK	POKY POLLEN TUBE
6052	AT1G71270	TTD8	T-DNA TRANSMISSION DEFECT 8
