	Rep	Medium	Microbes	Carbon	Carbon2	Rep	Time	Area	Length
228	R1	MS	MF	3OM.Glucose	Glucose	28	72h	0.142	1.621
229	R1	MS	MF	3OM.Glucose	Glucose	29	72h	0.142	1.657
230	R1	MS	MF	3OM.Glucose	Glucose	30	72h	0.178	2.078
231	R1	MS	MF	3OM.Glucose	Glucose	31	72h	0.142	1.609
232	R1	MS	MF	3OM.Glucose	Glucose	32	72h	0.17	1.957
233	R1	MS	MF	3OM.Glucose	Glucose	33	72h	0.227	2.668
234	R1	MS	MF	3OM.Glucose	Glucose	34	72h	0.206	2.384
235	R1	MS	MF	3OM.Glucose	Glucose	35	72h	0.17	1.939
236	R1	MS	MF	3OM.Glucose	Glucose	36	72h	0.327	3.788
237	R1	MS	MF	3OM.Glucose	Glucose	37	72h	0.163	1.835
238	R1	MS	MF	3OM.Glucose	Glucose	38	72h	0.227	2.622
239	R1	MS	MF	3OM.Glucose	Glucose	39	72h	0.178	2.122
240	R1	MS	MF	3OM.Glucose	Glucose	40	72h	0.199	2.378
241	R1	MS	MF	3OM.Glucose	Glucose	41	72h	0.078	0.871
242	R1	MS	MF	3OM.Glucose	Glucose	42	72h	0.163	1.885
243	R1	MS	MF	3OM.Glucose	Glucose	43	72h	0.277	3.266
244	R1	MS	MF	3OM.Glucose	Glucose	44	72h	0.192	2.006
245	R1	MS	MF	3OM.Glucose	Glucose	45	72h	0.249	2.753
246	R1	MS	MF	3OM.Glucose	Glucose	46	72h	0.135	1.463
247	R1	MS	MF	3OM.Glucose	Glucose	47	72h	0.199	2.247
248	R1	MS	MF	3OM.Glucose	Glucose	48	72h	0.234	2.5
249	R1	MS	MF	3OM.Glucose	Glucose	49	72h	0.227	2.606
250	R1	MS	MF	3OM.Glucose	Glucose	50	72h	0.227	2.593
251	R1	MS	MF	3OM.Mannose	Mannose	1	72h	0.163	1.868
252	R1	MS	MF	3OM.Mannose	Mannose	2	72h	0.256	2.914
253	R1	MS	MF	3OM.Mannose	Mannose	3	72h	0.298	3.351
254	R1	MS	MF	3OM.Mannose	Mannose	4	72h	0.142	1.619
255	R1	MS	MF	3OM.Mannose	Mannose	5	72h	0.22	2.518
256	R1	MS	MF	3OM.Mannose	Mannose	6	72h	0.185	2.115
257	R1	MS	MF	3OM.Mannose	Mannose	7	72h	0.206	2.331
258	R1	MS	MF	3OM.Mannose	Mannose	8	72h	0.22	2.469
259	R1	MS	MF	3OM.Mannose	Mannose	9	72h	0.192	2.212
260	R1	MS	MF	3OM.Mannose	Mannose	10	72h	0.156	1.79
261	R1	MS	MF	3OM.Mannose	Mannose	11	72h	0.213	2.407
262	R1	MS	MF	3OM.Mannose	Mannose	12	72h	0.206	2.406
263	R1	MS	MF	3OM.Mannose	Mannose	13	72h	0.263	3.069
264	R1	MS	MF	3OM.Mannose	Mannose	14	72h	0.234	2.717
265	R1	MS	MF	3OM.Mannose	Mannose	15	72h	0.185	2.166
266	R1	MS	MF	3OM.Mannose	Mannose	16	72h	0.185	2.141
267	R1	MS	MF	3OM.Mannose	Mannose	17	72h	0.234	2.723
268	R1	MS	MF	3OM.Mannose	Mannose	18	72h	0.163	1.88
269	R1	MS	MF	3OM.Mannose	Mannose	19	72h	0.192	2.192
270	R1	MS	MF	3OM.Mannose	Mannose	20	72h	0.206	2.387
271	R1	MS	MF	3OM.Mannose	Mannose	21	72h	0.241	2.823
272	R1	MS	MF	3OM.Mannose	Mannose	22	72h	0.234	2.722
273	R1	MS	MF	3OM.Mannose	Mannose	23	72h	0.206	2.441
274	R1	MS	MF	3OM.Mannose	Mannose	24	72h	0.17	1.939
275	R1	MS	MF	3OM.Mannose	Mannose	25	72h	0.178	2.1
276	R1	MS	MF	3OM.Mannose	Mannose	26	72h	0.156	1.825
277	R1	MS	MF	3OM.Mannose	Mannose	27	72h	0.199	2.303
278	R1	MS	MF	3OM.Mannose	Mannose	28	72h	0.192	2.264
279	R1	MS	MF	3OM.Mannose	Mannose	29	72h	0.199	2.347
280	R1	MS	MF	3OM.Mannose	Mannose	30	72h	0.22	2.528
281	R1	MS	MF	3OM.Mannose	Mannose	31	72h	0.241	2.824
282	R1	MS	MF	3OM.Mannose	Mannose	32	72h	0.206	2.334
283	R1	MS	MF	3OM.Mannose	Mannose	33	72h	0.185	2.17
284	R1	MS	MF	3OM.Mannose	Mannose	34	72h	0.22	2.539
285	R1	MS	MF	3OM.Mannose	Mannose	35	72h	0.206	2.444
286	R1	MS	MF	3OM.Mannose	Mannose	36	72h	0.192	2.219
287	R1	MS	MF	3OM.Mannose	Mannose	37	72h	0.142	1.6
288	R1	MS	MF	3OM.Mannose	Mannose	38	72h	0.17	1.996
289	R1	MS	MF	3OM.Mannose	Mannose	39	72h	0.156	1.735
290	R1	MS	MF	3OM.Mannose	Mannose	40	72h	0.199	2.348
291	R1	MS	MF	3OM.Mannose	Mannose	41	72h	0.185	2.124
292	R1	MS	MF	3OM.Mannose	Mannose	42	72h	0.185	2.153
293	R1	MS	MF	3OM.Mannose	Mannose	43	72h	0.199	2.338
294	R1	MS	MF	3OM.Mannose	Mannose	44	72h	0.192	2.196
295	R1	MS	MF	3OM.Mannose	Mannose	45	72h	0.156	1.769
296	R1	MS	MF	3OM.Mannose	Mannose	46	72h	0.27	3.161
297	R1	MS	MF	3OM.Mannose	Mannose	47	72h	0.234	2.731
298	R1	MS	MF	3OM.Mannose	Mannose	48	72h	0.156	1.909
299	R1	MS	MF	3OM.Mannose	Mannose	49	72h	0.156	1.854
300	R1	MS	MF	3OM.Mannose	Mannose	50	72h	0.17	2.069
301	R1	MS	F16	Water	Water	1	72h	0.149	1.794
302	R1	MS	F16	Water	Water	2	72h	0.071	0.843
303	R1	MS	F16	Water	Water	3	72h	0.092	1.077
304	R1	MS	F16	Water	Water	4	72h	0.107	1.332
305	R1	MS	F16	Water	Water	5	72h	0.142	1.66
306	R1	MS	F16	Water	Water	6	72h	0.085	0.93
307	R1	MS	F16	Water	Water	7	72h	0.135	1.613
308	R1	MS	F16	Water	Water	8	72h	0.121	1.411
309	R1	MS	F16	Water	Water	9	72h	0.185	2.137
310	R1	MS	F16	Water	Water	10	72h	0.142	1.708
311	R1	MS	F16	Water	Water	11	72h	0.128	1.522
312	R1	MS	F16	Water	Water	12	72h	0.121	1.363
313	R1	MS	F16	Water	Water	13	72h	0.163	1.882
314	R1	MS	F16	Water	Water	14	72h	0.114	1.292
315	R1	MS	F16	Water	Water	15	72h	0.156	1.836
316	R1	MS	F16	Water	Water	16	72h	0.121	1.348
317	R1	MS	F16	Water	Water	17	72h	0.241	2.812
318	R1	MS	F16	Water	Water	18	72h	0.099	1.149
319	R1	MS	F16	Water	Water	19	72h	0.163	1.907
320	R1	MS	F16	Water	Water	20	72h	0.142	1.613
321	R1	MS	F16	Water	Water	21	72h	0.114	1.308
322	R1	MS	F16	Water	Water	22	72h	0.142	1.67
323	R1	MS	F16	Water	Water	23	72h	0.142	1.685
324	R1	MS	F16	Water	Water	24	72h	0.185	2.135
325	R1	MS	F16	Water	Water	25	72h	0.114	1.265
326	R1	MS	F16	Water	Water	26	72h	0.121	1.35
327	R1	MS	F16	Water	Water	27	72h	0.142	1.645
328	R1	MS	F16	Water	Water	28	72h	0.178	2.059
329	R1	MS	F16	Water	Water	29	72h	0.163	1.86
330	R1	MS	F16	Water	Water	30	72h	0.092	1.038
331	R1	MS	F16	Water	Water	31	72h	0.17	2.072
332	R1	MS	F16	Water	Water	32	72h	0.149	1.736
333	R1	MS	F16	Water	Water	33	72h	0.121	1.367
334	R1	MS	F16	Water	Water	34	72h	0.121	1.421
335	R1	MS	F16	Water	Water	35	72h	0.163	1.926
336	R1	MS	F16	Water	Water	36	72h	0.135	1.569
337	R1	MS	F16	Water	Water	37	72h	0.128	1.464
338	R1	MS	F16	Water	Water	38	72h	0.163	1.862
