TranscriptID	Control_3OMG_F16_1	Control_3OMG_F16_2	Control_3OMG_F16_3	Control_3OMG_F16_4	Control_Water_F16_1	Control_Water_F16_2	Control_Water_F16_3	Plant_3OMG_F16_1	Plant_3OMG_F16_2	Plant_3OMG_F16_3	Plant_3OMG_F16_4	m3OMG_microbeFree_1	m3OMG_microbeFree_2	m3OMG_microbeFree_3	m3OMG_microbeFree_4	Plant_Water_F16_1	Plant_Water_F16_2	Plant_Water_F16_3	Plant_Water_F16_4	water_microbeFree_1	water_microbeFree_2	water_microbeFree_3	water_microbeFree_4
gene_1226	282	286	188	352	347	288	396	33	56	52	45	0	0	0	0	87	18	76	72	0	0	0	0
gene_1235	16	0	0	0	4	4	7	3	16	4	4	0	0	0	0	98	26	58	29	0	0	0	0
gene_1237	13	17	13	20	17	45	38	1	7	3	9	0	0	0	0	13	10	14	8	0	0	0	0
gene_1255	87	93	71	90	67	114	101	24	36	44	32	0	0	0	0	73	31	65	41	0	0	0	0
gene_1266	39	29	44	56	38	40	40	6	26	7	11	0	0	0	0	21	11	17	11	0	0	0	0
gene_1269	696	656	513	869	895	1034	1098	136	259	232	151	35	34	5	0	502	126	239	246	2	27	72	31
gene_1284	27	31	15	41	46	46	46	8	18	13	5	0	0	0	0	10	3	12	6	0	0	0	0
gene_1317	42	45	24	57	48	48	58	4	9	4	4	0	0	0	0	16	2	4	7	0	0	0	0
gene_1325	9	2	5	13	5	6	14	1	1	1	2	0	0	0	0	6	3	3	1	0	0	0	0
gene_1326	45	47	27	37	33	50	50	8	5	9	5	0	0	0	0	16	2	8	14	0	0	0	0
gene_1331	48	54	44	58	59	61	90	10	7	14	1	0	0	0	0	22	8	11	6	0	0	0	0
gene_1336	1	3	2	3	0	1	1	3	1	1	1	0	0	0	0	9	3	7	4	0	0	0	0
gene_1352	70	53	38	68	59	51	71	17	22	15	9	0	0	0	0	15	6	15	9	0	0	0	0
gene_1360	26	32	31	31	27	37	36	10	9	10	14	0	0	0	0	10	7	13	9	0	0	0	0
gene_1373	9	14	9	16	7	18	19	0	1	4	1	0	0	0	0	2	2	1	0	0	0	0	0
gene_1384	15	19	18	45	24	32	47	6	10	6	8	0	0	0	0	23	6	7	9	0	0	0	0
gene_1391	140	156	110	161	126	164	216	43	67	66	50	1	0	0	0	146	46	103	64	0	0	0	0
gene_1408	50	54	36	73	57	75	81	8	15	22	13	0	0	0	0	33	10	25	27	0	0	0	0
gene_1421	833	891	628	1042	923	1114	1227	160	209	222	170	0	0	0	0	329	161	293	241	0	0	0	0
gene_1443	76	83	93	68	106	80	129	18	32	30	25	0	0	0	0	25	21	45	24	0	0	0	0
gene_1451	8	3	1	11	3	6	3	2	2	2	2	0	0	0	0	2	1	0	3	0	0	0	0
gene_1463	53	29	18	25	35	31	43	5	11	7	10	0	0	0	0	13	2	10	14	0	0	0	0
