	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S3	S4	S5	S6	S7	S8	S9
a38a99638ab7f93fbea0381d461029a7	16.0	0.0	0.0	169.0	58.0	1760.0	157.0	6.0	3.0	0.0	401.0	1416.0	0.0	680.0	502.0	0.0	586.0	0.0	8.0	0.0	0.0	188.0	58.0	0.0	0.0
8da0d9264cd1a627b41ef173b7599df7	0.0	0.0	11.0	0.0	0.0	0.0	0.0	335.0	0.0	5302.0	11.0	0.0	0.0	12.0	0.0	0.0	23.0	0.0	16.0	0.0	0.0	268.0	0.0	16.0	0.0
ba9adee43de1a562f96c0a66eae143e2	0.0	640.0	6.0	106.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	1117.0	94.0	176.0	41.0	0.0	203.0	0.0	5.0	0.0	0.0	0.0	0.0	3371.0	0.0
8ca145b0898e878600ff3302058c01a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5544.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a7eafd29610cf4b4ef719e50eb568cc6	658.0	5.0	206.0	3.0	3.0	0.0	18.0	0.0	2.0	5.0	8.0	8.0	2.0	0.0	133.0	0.0	229.0	0.0	14.0	41.0	0.0	0.0	0.0	4156.0	4.0
714a6e652938c23ff90bfc19cc547834	23.0	509.0	27.0	406.0	0.0	8.0	4.0	14.0	9.0	24.0	629.0	9.0	0.0	0.0	7.0	0.0	9.0	0.0	16.0	289.0	0.0	3326.0	0.0	16.0	3.0
8985c3553cf87cb0c4914c7c4335343d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5254.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49945a4ddde3049621c89850766d7376	1654.0	499.0	1506.0	165.0	0.0	0.0	0.0	0.0	639.0	0.0	0.0	0.0	0.0	138.0	0.0	150.0	96.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	365.0
9c05db4492ddc58c90b1146e79ee410b	346.0	5.0	85.0	8.0	3.0	4.0	39.0	21.0	0.0	9.0	15.0	423.0	0.0	8.0	48.0	7.0	61.0	0.0	4.0	2.0	0.0	4.0	4.0	4097.0	4.0
93a0a879dfd2429c705f3d9fec7adf1f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34d98bb713483f3020d6264fc20fb1fc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5067.0	0.0	0.0	0.0	0.0	0.0	0.0
