	SAMPLE_ID	GROUP	Plant	Treatment	Time	Mg.Plant	Unit	Compound	Labelled	PEAK_AREA	PEAK_AREA_Norm
147	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C	No	199903107	7983350919
148	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C	No	154551767	5459264112
149	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C	No	166634275	11476189738
150	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C	No	144762821	11553297765
151	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C	No	139761171	9572682945
152	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C	No	94172517	5475146337
153	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C	No	245085165	20612713625
154	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C	No	227952149	12262084400
155	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C	No	140550197	6686498430
156	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C	No	112558846	4100504408
157	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C	No	284225459	4140813797
158	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C	No	192501725	3505768075
159	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C	No	230597922	3479672884
160	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C	No	176382608	3280316310
161	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C	No	160320412	3405999830
162	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C	No	183575721	4186447457
163	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C	No	213888763	3410760054
164	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C	No	163536571	5491489960
165	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C	No	122977468	NA
166	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C	No	127385272	NA
167	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C	No	136612920	NA
168	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C	No	NA	NA
169	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_fumaric_00	No	43138831	2415388074
170	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_fumaric_00	No	34700279	2069187776
171	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_fumaric_00	No	23882150	411123257
172	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_fumaric_00	No	27198377	774000483.8
173	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_fumaric_00	No	20722204	1291907980
174	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_fumaric_00	No	22484847	1065632559
175	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_fumaric_00	No	28243610	1127939696
176	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_fumaric_00	No	20812968	735180784.2
177	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_fumaric_00	No	1250738163	86138991942
178	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_fumaric_00	No	1539061692	1.2283E+11
179	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_fumaric_00	No	1790861643	1.22662E+11
180	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_fumaric_00	No	1721222641	1.00071E+11
181	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_fumaric_00	No	1072952269	90239888057
182	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_fumaric_00	No	1423902314	76595067994
183	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_fumaric_00	No	1783939889	84868691199
184	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_fumaric_00	No	1580489219	57577020729
185	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_fumaric_00	No	6717483442	97865434761
186	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_fumaric_00	No	2749339012	50069914624
187	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_fumaric_00	No	2910381998	43917036336
188	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_fumaric_00	No	3720399714	69190993379
189	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_fumaric_00	No	3467796171	73673171256
190	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_fumaric_00	No	3492027669	79635750718
191	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_fumaric_00	No	4802239497	76578528098
192	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_fumaric_00	No	2870186420	96379664876
193	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_fumaric_00	No	2269868407	NA
194	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_fumaric_00	No	2067563366	NA
195	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_fumaric_00	No	1980915712	NA
196	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_fumaric_00	No	1640869	NA
197	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_Glc1P_00	No	235375155	13178900056
198	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_Glc1P_00	No	557438179	33240201491
199	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_Glc1P_00	No	699698209	12045071596
200	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_Glc1P_00	No	513068895	14600708452
201	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_Glc1P_00	No	381734420	23798903990
202	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_Glc1P_00	No	458369289	21723662986
