	ID2	System	Plant	Experiment	Bio_rep	Tech_Rep	Microbes	Treatment	Element	Weight	Tube	Tube+element	Microbial ID	Primers	CT	UBQ10	Kingdom
63	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_BSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	BSC	Glucose	Matrix	455.4	1993.8	2449.2	MiniSC	Primer_16S	13.55		Bacteria
64	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_BSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	BSC	Glucose	Matrix	386.4	1903.5	2289.9	MiniSC	Primer_16S	14.01		Bacteria
65	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_BSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	BSC	3OMG	Matrix	508.1	1935.7	2443.8	MiniSC	Primer_16S	13.81		Bacteria
66	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_BSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	BSC	3OMG	Matrix	410	2000.3	2410.3	MiniSC	Primer_16S	14.43		Bacteria
67	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_BSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	BSC	3OMG	Matrix	450.2	1954.6	2404.8	MiniSC	Primer_16S	14.01		Bacteria
68	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_BSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	BSC	3OMG	Matrix	495.5	1914.8	2410.3	MiniSC	Primer_16S	14.01		Bacteria
69	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_BSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	BSC	3OMG	Matrix	285.9	1880.2	2166.1	MiniSC	Primer_16S	14.39		Bacteria
70	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_BSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	BSC	3OMG	Matrix	380.9	1918.8	2299.7	MiniSC	Primer_16S	14.05		Bacteria
71	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_BSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	BSC	3OMG	Matrix	338.1	1915.1	2253.2	MiniSC	Primer_16S	13.95		Bacteria
72	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_BSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	BSC	3OMG	Matrix	361.9	1904.1	2266	MiniSC	Primer_16S	13.51		Bacteria
73	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_BFSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	BFSC	Water	Matrix	210.8	1926.1	2136.9	MiniSC	Primer_16S	17.21		Bacteria
74	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_BFSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	BFSC	Water	Matrix	200.8	1965.7	2166.5	MiniSC	Primer_16S	20.62		Bacteria
75	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_BFSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	BFSC	Water	Matrix	231.3	1984.5	2215.8	MiniSC	Primer_16S	17.14		Bacteria
76	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_BFSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	BFSC	Water	Matrix	306.6	1908.1	2214.7	MiniSC	Primer_16S	14.62		Bacteria
77	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_BFSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	BFSC	Water	Matrix	251.8	1999.6	2251.4	MiniSC	Primer_16S	15.89		Bacteria
78	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_BFSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	BFSC	Water	Matrix	286.4	1897.8	2184.2	MiniSC	Primer_16S	15.63		Bacteria
79	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_BFSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	BFSC	Water	Matrix	305.3	1881.5	2186.8	MiniSC	Primer_16S	14.99		Bacteria
80	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_BFSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	BFSC	Water	Matrix	333.2	2055.6	2388.8	MiniSC	Primer_16S	14.75		Bacteria
81	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_BFSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	BFSC	Glucose	Matrix	391.7	1924.9	2316.6	MiniSC	Primer_16S	13.87		Bacteria
82	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_BFSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	BFSC	Glucose	Matrix	430.9	1874.8	2305.7	MiniSC	Primer_16S	13.61		Bacteria
83	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_BFSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	BFSC	Glucose	Matrix	444.7	1994.5	2439.2	MiniSC	Primer_16S	13.51		Bacteria
84	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_BFSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	BFSC	Glucose	Matrix	460.3	1926.9	2387.2	MiniSC	Primer_16S	14.17		Bacteria
85	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_BFSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	BFSC	Glucose	Matrix	420.2	2039.8	2460	MiniSC	Primer_16S	14.78		Bacteria
86	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_BFSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	BFSC	Glucose	Matrix	338	1855.6	2193.6	MiniSC	Primer_16S	14.57		Bacteria
87	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_BFSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	BFSC	Glucose	Matrix	363	1942.8	2305.8	MiniSC	Primer_16S	14.99		Bacteria
88	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_BFSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	BFSC	Glucose	Matrix	335.8	1907.1	2242.9	MiniSC	Primer_16S	14.7		Bacteria
89	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_BFSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	BFSC	3OMG	Matrix	453	1969	2422	MiniSC	Primer_16S	14.17		Bacteria
90	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_BFSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	BFSC	3OMG	Matrix	374.1	1864.5	2238.6	MiniSC	Primer_16S	14.09		Bacteria
91	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_BFSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	BFSC	3OMG	Matrix	483.3	1930	2413.3	MiniSC	Primer_16S	14.29		Bacteria
92	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_BFSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	BFSC	3OMG	Matrix	432	1842.7	2274.7	MiniSC	Primer_16S	13.8		Bacteria
93	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_BFSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	BFSC	3OMG	Matrix	396.4	1975.6	2372	MiniSC	Primer_16S	14.43		Bacteria
94	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_BFSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	BFSC	3OMG	Matrix	527.3	1815.6	2342.9	MiniSC	Primer_16S	13.88		Bacteria
95	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_BFSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	BFSC	3OMG	Matrix	340.7	1936.2	2276.9	MiniSC	Primer_16S	14.46		Bacteria
96	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_BFSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	BFSC	3OMG	Matrix	474.7	1923.8	2398.5	MiniSC	Primer_16S	14.77		Bacteria
97	Flowpots_Arabidopsis_thaliana_Rs1_1_1_MF_Water_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	1	MF	Water	Plant	8.2	1808.6	1816.8	Pathogens	Primer_16S		27.35	Bacteria
98	Flowpots_Arabidopsis_thaliana_Rs1_1_2_MF_Water_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	2	MF	Water	Plant	5.1	1865.1	1870.2	Pathogens	Primer_16S		28.35	Bacteria
99	Flowpots_Arabidopsis_thaliana_Rs1_1_3_MF_Water_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	3	MF	Water	Plant	9.1	1777.2	1786.3	Pathogens	Primer_16S		28.08	Bacteria
100	Flowpots_Arabidopsis_thaliana_Rs1_1_4_MF_Water_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	4	MF	Water	Plant	8.5	1840.9	1849.4	Pathogens	Primer_16S		28.18	Bacteria
101	Flowpots_Arabidopsis_thaliana_Rs1_1_5_MF_Water_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	5	MF	Water	Plant	9.1	1860.2	1869.3	Pathogens	Primer_16S		29.32	Bacteria
102	Flowpots_Arabidopsis_thaliana_Rs1_1_6_MF_Water_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	6	MF	Water	Plant	7.1	1767.2	1774.3	Pathogens	Primer_16S		29.19	Bacteria
103	Flowpots_Arabidopsis_thaliana_Rs1_1_7_MF_Water_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	7	MF	Water	Plant	8.9	1769.8	1778.7	Pathogens	Primer_16S		29.7	Bacteria
104	Flowpots_Arabidopsis_thaliana_Rs1_1_8_MF_Water_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	8	MF	Water	Plant	7.9	1806	1813.9	Pathogens	Primer_16S		29.72	Bacteria
105	Flowpots_Arabidopsis_thaliana_Rs1_1_1_MF_Glucose_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	1	MF	Glucose	Plant	4.5	1788.7	1793.2	Pathogens	Primer_16S		27.71	Bacteria
106	Flowpots_Arabidopsis_thaliana_Rs1_1_2_MF_Glucose_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	2	MF	Glucose	Plant	10	1839.1	1849.1	Pathogens	Primer_16S		28.84	Bacteria
107	Flowpots_Arabidopsis_thaliana_Rs1_1_3_MF_Glucose_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	3	MF	Glucose	Plant	10.5	1916.9	1927.4	Pathogens	Primer_16S		29.63	Bacteria
108	Flowpots_Arabidopsis_thaliana_Rs1_1_4_MF_Glucose_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	4	MF	Glucose	Plant	8.1	1760.2	1768.3	Pathogens	Primer_16S		29.24	Bacteria
109	Flowpots_Arabidopsis_thaliana_Rs1_1_5_MF_Glucose_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	5	MF	Glucose	Plant	5.3	1878.6	1883.9	Pathogens	Primer_16S		29.19	Bacteria
110	Flowpots_Arabidopsis_thaliana_Rs1_1_6_MF_Glucose_Plant	Flowpots	Arabidopsis_thaliana	Rs1	1	6	MF	Glucose	Plant	6.9	1794.4	1801.3	Pathogens	Primer_16S		28.74	Bacteria
