1	Well	Plate_ID	OD600	Plecto_ID	Plecto_ID2	Condition	Replicate
237	D8	Plecto_MF_3	0.087099999	P2	P2	MF	3
238	D9	Plecto_MF_3	0.087800004	P3	P3	MF	3
239	D10	Plecto_MF_3	0.086800002	P4	P4	MF	3
240	D11	Plecto_MF_3	0.087200001	P5	P5	MF	3
241	D12	Plecto_MF_3	0.095100001	P6	P6	MF	3
242	E1	Plecto_MF_3	0.093000002	P7	P7	MF	3
243	E2	Plecto_MF_3	0.091300003	P8	P8	MF	3
244	E3	Plecto_MF_3	0.0898	P9	P9	MF	3
245	E4	Plecto_MF_3	0.088100001	P10	P10	MF	3
246	E5	Plecto_MF_3	0.089299999	P11	P11	MF	3
247	E6	Plecto_MF_3	0.0876	P12	P12	MF	3
248	E7	Plecto_MF_3	0.086599998	P13	P13	MF	3
249	E8	Plecto_MF_3	0.086499996	P14	P14	MF	3
250	E9	Plecto_MF_3	0.090599999	P15	P15	MF	3
251	E10	Plecto_MF_3	0.087800004	P16	P16	MF	3
252	E11	Plecto_MF_3	0.090000004	P17	P17	MF	3
253	E12	Plecto_MF_3	0.095700003	P18	P18	MF	3
254	F1	Plecto_MF_3	0.092699997	P19	P19	MF	3
255	F2	Plecto_MF_3	0.0911	P20	P20	MF	3
256	F3	Plecto_MF_3	0.085900001	P21	P21	MF	3
257	F4	Plecto_MF_3	0.088	P22	P22	MF	3
258	F5	Plecto_MF_3	0.089000002	P23	P23	MF	3
259	F6	Plecto_MF_3	0.086000003	P24	P24	MF	3
260	F7	Plecto_MF_3	0.089900002	P25	P25	MF	3
261	F8	Plecto_MF_3	0.087800004	P26	P26	MF	3
262	F9	Plecto_MF_3	0.089100003	P27	P27	MF	3
263	F10	Plecto_MF_3	0.087300003	P28	P28	MF	3
264	F11	Plecto_MF_3	0.090300001	P29	P29	MF	3
265	F12	Plecto_MF_3	0.098499998	P30	P30	MF	3
266	G1	Plecto_MF_3	0.090700001	P31	P31	MF	3
267	G2	Plecto_MF_3	0.093099996	P32	P32	MF	3
268	G3	Plecto_MF_3	0.088399999	P33	P33	MF	3
